Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,3.577869,186.0,-0.18476158,0.07928570253508431,0.07928570253508431,0.0140875755,0.066126026,0.00029929235,0.19976413,0.009976435,1.0
20000,3.5616562,412.25,-0.31718072,-1.0395250171422958,-1.0395250171422958,0.01775816,0.07106377,0.00029794278,0.19931425,0.009931494,1.0
30000,3.5423932,715.0,-0.39489418,-2.3151899695396425,-2.3151899695396425,0.024750823,0.07152057,0.00029621084,0.19873695,0.0098738205,1.0
40000,3.531363,791.5,-0.40399247,-3.2883199214935304,-3.2883199214935304,0.015574906,0.07102186,0.00029463886,0.19821295,0.009821475,1.0
50000,3.5190902,774.25,-0.42597377,-2.832099936902523,-2.832099936902523,0.00866824,0.06868523,0.00029327828,0.19775942,0.009776164,1.0
60000,3.5126133,1281.05,-0.4213536,-5.890139975771308,-5.890139975771308,0.02136327,0.07178791,0.00029180868,0.19726956,0.009727229,1.0
70000,3.505602,679.0,-0.4129474,-1.898116661856572,-1.898116661856572,0.026485255,0.07224541,0.00029020326,0.19673441,0.009673768,1.0
80000,3.5010896,1016.0,-0.40275922,-5.0121333168612585,-5.0121333168612585,0.0128792785,0.07492497,0.00028877778,0.19625928,0.0096263,1.0
90000,3.487412,1109.25,-0.4296288,-4.863262500613928,-4.863262500613928,0.013093677,0.06432725,0.00028737576,0.19579192,0.009579613,1.0
100000,3.451173,829.0,-0.41643557,-3.202829974889755,-3.202829974889755,0.014370462,0.07825838,0.00028579388,0.19526461,0.009526935,1.0
110000,3.4309354,1228.375,-0.37008995,-5.455274974927306,-5.455274974927306,0.018406067,0.07256705,0.0002842332,0.1947444,0.009474963,1.0
120000,3.4259465,925.0,-0.38153222,-3.7671312373131514,-3.7671312373131514,0.03549652,0.071119934,0.0002826632,0.19422106,0.009422684,1.0
130000,3.407364,909.0769230769231,-0.37282774,-3.7295538250070353,-3.7295538250070353,0.025476221,0.06633443,0.00028125526,0.19375174,0.009375799,1.0
140000,3.4009156,1144.2857142857142,-0.40693456,-5.091628551483154,-5.091628551483154,0.013407054,0.071352504,0.00027983694,0.19327898,0.009328569,1.0
150000,3.4102182,537.8888888888889,-0.4046492,-1.717361104985078,-1.717361104985078,0.032250773,0.07196055,0.00027827112,0.19275704,0.009276427,1.0
160000,3.401386,762.0,-0.41722053,-2.8779222344358764,-2.8779222344358764,0.029053822,0.066997245,0.00027668956,0.19222985,0.009223761,1.0
170000,3.3973324,774.8888888888889,-0.4159236,-3.1087389058536954,-3.1087389058536954,0.020342566,0.070008434,0.00027527002,0.19175668,0.009176491,1.0
180000,3.3863711,1178.0,-0.38049057,-5.281909087842161,-5.281909087842161,0.03580262,0.07130015,0.0002738656,0.19128856,0.009129724,1.0
190000,3.3776596,668.2857142857143,-0.3927429,-2.405466670791308,-2.405466670791308,0.011198452,0.08086965,0.00027227536,0.19075844,0.009076769,1.0
200000,3.3799145,1065.8,-0.4095503,-4.402127265930176,-4.402127265930176,0.018313173,0.06442422,0.00027070477,0.19023491,0.009024466,1.0
210000,3.3627033,806.1428571428571,-0.39821675,-2.8648846332843485,-2.8648846332843485,0.023525568,0.078228116,0.00026913936,0.1897131,0.00897234,1.0
220000,3.3622823,859.5454545454545,-0.41212946,-3.6962666623294353,-3.6962666623294353,0.019116562,0.07322345,0.00026771333,0.18923779,0.008924853,1.0
230000,3.3867962,828.25,-0.41719267,-3.2876812019385397,-3.2876812019385397,0.025434729,0.07077215,0.0002662933,0.18876444,0.008877566,1.0
240000,3.3638754,675.125,-0.37196195,-2.6887199913462,-2.6887199913462,0.032039393,0.07195048,0.00026471762,0.18823919,0.008825095,1.0
250000,3.3274374,511.1818181818182,-0.3470124,-1.531681789593263,-1.531681789593263,0.029303852,0.07526298,0.00026312988,0.18770996,0.008772223,1.0
260000,3.3219807,1080.125,-0.4060333,-4.109377743469344,-4.109377743469344,0.012460392,0.07241834,0.00026171372,0.1872379,0.008725066,1.0
270000,3.3037903,825.9444444444445,-0.38331494,-3.259277736975087,-3.259277736975087,0.03139011,0.07261631,0.00026029785,0.18676595,0.0086779175,1.0
280000,3.2947311,498.8666666666667,-0.37134698,-1.6056932936112085,-1.6056932936112085,0.028906982,0.07382288,0.00025872322,0.18624106,0.008625482,1.0
290000,3.2695441,579.25,-0.30223632,-1.9949937062337995,-1.9949937062337995,0.03286976,0.0759167,0.0002571517,0.18571721,0.00857315,1.0
300000,3.2833812,1107.375,-0.37877363,-4.863137491047382,-4.863137491047382,0.022677045,0.069244444,0.0002557276,0.18524253,0.008525727,1.0
310000,3.3022666,752.35,-0.4075301,-2.9295499578118323,-2.9295499578118323,0.03103279,0.07371186,0.00025431073,0.18477026,0.0084785465,1.0
320000,3.2602959,648.8888888888889,-0.43338916,-2.438888827131854,-2.438888827131854,0.018183623,0.07087212,0.00025273196,0.18424396,0.008425973,1.0
330000,3.248662,780.0714285714286,-0.4008419,-2.9351285515086993,-2.9351285515086993,0.02808024,0.08038781,0.000251168,0.18372265,0.008373893,1.0
340000,3.2613404,896.875,-0.34451315,-3.694837424904108,-3.694837424904108,0.018772928,0.066791624,0.00024976776,0.18325593,0.008327266,1.0
350000,3.2426677,799.0,-0.34769392,-3.243999964956726,-3.243999964956726,0.023401594,0.074361496,0.0002483616,0.18278721,0.00828044,1.0
360000,3.2288063,647.6086956521739,-0.3302404,-2.295756501024184,-2.295756501024184,0.044191323,0.066218995,0.00024679504,0.18226501,0.008228273,1.0
370000,3.2019072,825.6923076923077,-0.3393394,-3.1689845529886393,-3.1689845529886393,0.029533228,0.071900256,0.00024520484,0.18173495,0.00817532,1.0
380000,3.2058098,739.9333333333333,-0.35140362,-2.78099994132152,-2.78099994132152,0.02351509,0.0719948,0.00024363732,0.18121243,0.008123122,1.0
390000,3.1818197,473.0,-0.3364688,-1.5175610954562824,-1.5175610954562824,0.03941415,0.06888764,0.00024222334,0.1807411,0.008076036,1.0
400000,3.2074475,486.3333333333333,-0.34411323,-1.4064952333768208,-1.4064952333768208,0.038730163,0.0734802,0.00024081778,0.18027258,0.008029231,1.0
410000,3.2267554,633.5333333333333,-0.30177617,-2.2686333085099855,-2.2686333085099855,0.030593535,0.06892985,0.00023925079,0.17975025,0.00797705,1.0
420000,3.2163856,587.8,-0.33244425,-2.0844285621174743,-2.0844285621174743,0.022972539,0.06782272,0.00023765927,0.17921975,0.007924052,1.0
430000,3.220803,884.7142857142857,-0.36426216,-3.3881750274449587,-3.3881750274449587,0.015600128,0.0701569,0.00023624321,0.17874771,0.007876897,1.0
440000,3.2056406,753.4736842105264,-0.29720205,-2.8314894782869438,-2.8314894782869438,0.043497056,0.072255425,0.00023482302,0.17827435,0.007829605,1.0
450000,3.2086797,556.0,-0.29135525,-1.7893922924995422,-1.7893922924995422,0.042072468,0.06700162,0.00023326045,0.17775346,0.0077775717,1.0
460000,3.223512,588.5384615384615,-0.35484558,-1.9897153652631319,-1.9897153652631319,0.024472993,0.0715896,0.00023167639,0.17722547,0.0077248225,1.0
470000,3.232963,523.2272727272727,-0.39713827,-1.588599989360029,-1.588599989360029,0.044371247,0.071272545,0.00023023706,0.1767457,0.0076768934,1.0
480000,3.1984215,578.4615384615385,-0.333037,-1.9392230831659758,-1.9392230831659758,0.04160682,0.06535013,0.00022881971,0.17627324,0.0076296953,1.0
490000,3.1993425,684.375,-0.3182388,-2.4479812560603023,-2.4479812560603023,0.032515083,0.075966075,0.00022722932,0.17574307,0.0075767348,1.0
500000,3.165406,580.0,-0.34125566,-1.847564697265625,-1.847564697265625,0.036379825,0.07154904,0.00022563672,0.1752122,0.0075237015,1.0
510000,3.1419618,607.7894736842105,-0.2911396,-2.084534787613413,-2.084534787613413,0.05699604,0.072405234,0.00022422697,0.17474233,0.007476757,1.0
520000,3.1112425,420.9375,-0.2891146,-1.0807312484830618,-1.0807312484830618,0.029051965,0.06438015,0.00022281455,0.17427151,0.0074297227,1.0
530000,3.1014843,705.0714285714286,-0.358555,-2.558300020439284,-2.558300020439284,0.027748931,0.071271785,0.00022125486,0.17375162,0.007377786,1.0
540000,3.1091287,526.9545454545455,-0.32806137,-1.652490907772021,-1.652490907772021,0.050539114,0.06987018,0.00021967266,0.1732242,0.007325098,1.0
550000,3.1226346,448.3809523809524,-0.32860228,-1.219799986907414,-1.219799986907414,0.043047436,0.07049379,0.00021826112,0.17275369,0.0072780936,1.0
560000,3.1104958,458.1666666666667,-0.33750483,-1.3235722126232252,-1.3235722126232252,0.035637703,0.07256982,0.0002168518,0.17228392,0.007231164,1.0
570000,3.0848756,706.25,-0.33738944,-2.557743745855987,-2.557743745855987,0.034568124,0.07103777,0.00021526983,0.17175661,0.0071784845,1.0
580000,3.05264,400.39130434782606,-0.28032893,-0.9816652044006016,-0.9816652044006016,0.04260374,0.073122896,0.00021369821,0.17123273,0.007126149,1.0
