Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2010000,2.7408664,101.81818181818181,0.015064572,0.8763636323538694,0.8763636323538694,1.0
2020000,2.7485065,284.875,-0.038702045,0.6343749845400453,0.6343749845400453,1.0
2030000,2.7232547,784.7391304347826,-0.040539186,0.321499977260828,0.321499977260828,1.0
2040000,2.720312,320.45,-0.003299298,-0.24900001953497078,-0.24900001953497078,1.0
2050000,2.6892285,401.25,-0.013652657,0.3058749958872795,0.3058749958872795,1.0
2060000,2.694772,599.1111111111111,-0.012876335,-0.16000003346966374,-0.16000003346966374,1.0
2070000,2.6966953,570.1304347826087,-0.021768132,-0.14626089062379755,-0.14626089062379755,1.0
2080000,2.6867409,421.5,-0.01865227,0.2652857050831829,0.2652857050831829,1.0
2090000,2.631676,707.4375,-0.0051601767,-0.5323750248644501,-0.5323750248644501,1.0
2100000,2.6226568,530.3529411764706,-0.018847078,0.018235274535768172,0.018235274535768172,1.0
2110000,2.6251528,628.8947368421053,-0.03149781,-0.14215791794030289,-0.14215791794030289,1.0
2120000,2.6200566,598.9230769230769,-0.047659244,-0.36030771554662633,-0.36030771554662633,1.0
2130000,2.616574,747.7692307692307,-0.05663161,-0.6900769666983531,-0.6900769666983531,1.0
2140000,2.600319,643.15,-0.048685487,-0.41005002688616515,-0.41005002688616515,1.0
2150000,2.5850213,452.88235294117646,-0.05599389,0.1809999820064096,0.1809999820064096,1.0
2160000,2.6179874,629.0666666666667,-0.04291587,-0.4811333661278089,-0.4811333661278089,1.0
2170000,2.6026404,558.6538461538462,-0.0425605,-0.15176002576947212,-0.15176002576947212,1.0
2180000,2.5970864,427.4,-0.049871143,0.1986363445493308,0.1986363445493308,1.0
2190000,2.564208,702.6666666666666,-0.03069785,-0.5078333761129115,-0.5078333761129115,1.0
2200000,2.5597708,506.85714285714283,-0.0085670585,-0.0319524011796429,-0.0319524011796429,1.0
